role,login_id,password_hash,full_name,email,phone,photo_url,is_active,school_id,id,created_at,updated_at
admin,admin@sunrisepublic.edu,$2b$12$dLHu4DFs2teRkaZ5.fB/gOY1CXyJlAz/om32HIDEPjO2YOidIS22.,Office Administrator,admin@sunrisepublic.edu,+91 522 400 1234,,True,36,399,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin,principal@sunrisepublic.edu,$2b$12$/Xgu3EyVd.t6m4LCnyXAgOcW.SiyXCd8Jd89XP/OQdWN9EdUluBqu,Principal,principal@sunrisepublic.edu,+91 522 400 1234,,True,36,400,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin,viceprincipal@sunrisepublic.edu,$2b$12$dbdRvjnuteJNkc75VSquPeb3LL/QERYEr3GsARk9dcLswVmia6nyK,Vice Principal,viceprincipal@sunrisepublic.edu,+91 522 400 1234,,True,36,401,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin,owner@sunrisepublic.edu,$2b$12$epFJ/bCeOnz73Sea0LLszOMvP3BGxrQA1z60U6hr8Um/dWwcvsDKi,School Owner / Management,owner@sunrisepublic.edu,+91 522 400 1234,,True,36,402,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin,coordinator@sunrisepublic.edu,$2b$12$vdsbSo3IpzA00BLRmPwC1uDV0VOUGJJZUTJlpLWSVToFgDn7QiYxm,Academic Coordinator,coordinator@sunrisepublic.edu,+91 522 400 1234,,True,36,403,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin,counter@sunrisepublic.edu,$2b$12$VI5tviBecQ68AMXSEnpCHuGufE3wQgfnxTJSYWIZrAekL85iAnOmS,Fee Counter Clerk,counter@sunrisepublic.edu,+91 522 400 1235,,True,36,404,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin,receptionist@sunrisepublic.edu,$2b$12$cX9Ea0Yf.gGb4qjmLcP4JeN0rofWFQgtx8.WTm.N3F8iz8CqD/2V2,Front Desk Receptionist,receptionist@sunrisepublic.edu,+91 522 400 1236,,True,36,405,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
admin,admission@sunrisepublic.edu,$2b$12$fn6McBTqEIT08xHhZOb1JO0AxHfDztpJAE7tmtlePAh42f4oM39pi,Admission Officer,admission@sunrisepublic.edu,+91 522 400 1237,,True,36,406,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
teacher,TCH001,$2b$12$CPDPkPl8NbBbHo6OboE3Je7SgrMaehtwtcqdose8ybE5q4fzpGGji,Anita Sharma,tch001@sunrisepublic.edu,9876520001,,True,36,407,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
teacher,TCH002,$2b$12$Z/M4JgB.v8VSgigKkaqD7.6.uGgk/XsOQ2JG3tX48fraOGa2rntz2,Rajesh Verma,tch002@sunrisepublic.edu,9876520002,,True,36,408,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
teacher,TCH003,$2b$12$yd5Yu0QzDpOKm8oCzV7jPeuEJFgy4oz70sWekO6MBhTCoyEvah55e,Sunita Yadav,tch003@sunrisepublic.edu,9876520003,,True,36,409,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
