user_id,admission_no,status,dob,gender,address,admission_date,custom,school_id,id,created_at,updated_at
419,2024000001,active,2010-02-02,male,"House 101, Vikas Nagar, Lucknow",2024-04-01,{},36,200,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
420,2024000002,active,2010-03-03,female,"House 102, Vikas Nagar, Lucknow",2024-04-01,{},36,201,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
421,2024000003,active,2010-04-04,male,"House 103, Vikas Nagar, Lucknow",2024-04-01,{},36,202,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
422,2024000004,active,2010-05-05,female,"House 104, Vikas Nagar, Lucknow",2024-04-01,{},36,203,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
423,2024000005,active,2010-06-06,male,"House 105, Vikas Nagar, Lucknow",2024-04-01,{},36,204,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
424,2024000006,active,2010-07-07,female,"House 106, Vikas Nagar, Lucknow",2024-04-01,{},36,205,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
425,2024000007,active,2010-08-08,male,"House 107, Vikas Nagar, Lucknow",2024-04-01,{},36,206,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
426,2024000008,active,2010-09-09,female,"House 108, Vikas Nagar, Lucknow",2024-04-01,{},36,207,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
427,2024000009,active,2010-10-10,male,"House 109, Vikas Nagar, Lucknow",2024-04-01,{},36,208,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
428,2024000010,active,2010-11-11,female,"House 110, Vikas Nagar, Lucknow",2024-04-01,{},36,209,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
429,2024000011,active,2009-12-12,male,"House 111, Vikas Nagar, Lucknow",2024-04-01,{},36,210,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
430,2024000012,active,2009-01-13,female,"House 112, Vikas Nagar, Lucknow",2024-04-01,{},36,211,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
431,2024000013,active,2009-02-14,male,"House 113, Vikas Nagar, Lucknow",2024-04-01,{},36,212,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
432,2024000014,active,2009-03-15,female,"House 114, Vikas Nagar, Lucknow",2024-04-01,{},36,213,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
433,2024000015,active,2009-04-16,male,"House 115, Vikas Nagar, Lucknow",2024-04-01,{},36,214,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
434,2024000016,active,2009-05-17,female,"House 116, Vikas Nagar, Lucknow",2024-04-01,{},36,215,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
435,2024000017,active,2009-06-18,male,"House 117, Vikas Nagar, Lucknow",2024-04-01,{},36,216,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
436,2024000018,active,2009-07-19,female,"House 118, Vikas Nagar, Lucknow",2024-04-01,{},36,217,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
437,2024000019,active,2009-08-20,male,"House 119, Vikas Nagar, Lucknow",2024-04-01,{},36,218,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
438,2024000020,active,2009-09-21,female,"House 120, Vikas Nagar, Lucknow",2024-04-01,{},36,219,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
439,2024000021,active,2008-10-22,male,"House 121, Vikas Nagar, Lucknow",2024-04-01,{},36,220,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
440,2024000022,active,2008-11-23,female,"House 122, Vikas Nagar, Lucknow",2024-04-01,{},36,221,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
441,2024000023,active,2008-12-24,male,"House 123, Vikas Nagar, Lucknow",2024-04-01,{},36,222,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
442,2024000024,active,2008-01-25,female,"House 124, Vikas Nagar, Lucknow",2024-04-01,{},36,223,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
443,2024000025,active,2008-02-26,male,"House 125, Vikas Nagar, Lucknow",2024-04-01,{},36,224,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
444,2024000026,active,2008-03-27,female,"House 126, Vikas Nagar, Lucknow",2024-04-01,{},36,225,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
445,2024000027,active,2008-04-01,male,"House 127, Vikas Nagar, Lucknow",2024-04-01,{},36,226,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
446,2024000028,active,2008-05-02,female,"House 128, Vikas Nagar, Lucknow",2024-04-01,{},36,227,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
447,2024000029,active,2008-06-03,male,"House 129, Vikas Nagar, Lucknow",2024-04-01,{},36,228,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
448,2024000030,active,2008-07-04,female,"House 130, Vikas Nagar, Lucknow",2024-04-01,{},36,229,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
449,2024000031,active,2007-08-05,male,"House 131, Vikas Nagar, Lucknow",2024-04-01,{},36,230,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
450,2024000032,active,2007-09-06,female,"House 132, Vikas Nagar, Lucknow",2024-04-01,{},36,231,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
451,2024000033,active,2007-10-07,male,"House 133, Vikas Nagar, Lucknow",2024-04-01,{},36,232,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
452,2024000034,active,2007-11-08,female,"House 134, Vikas Nagar, Lucknow",2024-04-01,{},36,233,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
453,2024000035,active,2007-12-09,male,"House 135, Vikas Nagar, Lucknow",2024-04-01,{},36,234,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
454,2024000036,active,2007-01-10,female,"House 136, Vikas Nagar, Lucknow",2024-04-01,{},36,235,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
455,2024000037,active,2007-02-11,male,"House 137, Vikas Nagar, Lucknow",2024-04-01,{},36,236,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
456,2024000038,active,2007-03-12,female,"House 138, Vikas Nagar, Lucknow",2024-04-01,{},36,237,2026-09-21 13:42:20.897635+05:30,2026-09-21 13:42:20.897635+05:30
